TYPE TEST,INPUT USER,EXPECTED RESULT,NOTES
SUBST,"export var=""  truc"" - echo $var | cat -e",[truc],Skip all spaces
SUBST,"export var=""truc  "" - echo $var | cat -e",[truc],Skip all spaces
SUBST,"echo ""$tests""""Makefile""",[Makefile],
SUBST,"echo ""$tests""Makefile",[Makefile],
SUBST,"echo ""$tests"" ""Makefile""",[ Makefile],
,,,
,,,
SUBST,export $var ($var does not exists),"Shows ""export""",
,,,
,,,
,,,
SUBST,"export test=""  foo    bar  "" ; echo $test",[foo bar],
SUBST,"export test=""  foo    bar  "" ; echo ab$test",[ab foo bar],
SUBST,"export test=""  foo    bar  "" ; echo ""ab""$test",[ab foo bar],
,,,
SUBST,SUBST,[ foo   bar ],
SUBST,"export test="" foo   bar "" ; echo """"$test""""",[ foo bar ],
SUBST,"export test="" foo   bar "" ; echo """"""$test""""""",[ foo   bar ],
SUBST,export var= s\ -la ; l$var,equivalent à ls -al,
SUBST,export var=at ; c$var Makefile,equivalent a cat Makefile,
SUBST,export loop='bonjour$loop' ; echo $loop,bonjour$loop,
SUBST & REDIR,"export test=""file1 file2"" ; >$test",$test: ambiguous redir,
SUBST & REDIR,"export test=""file1 file2"" ; >""$test""",[file1 file2] created,
SUBST & REDIR,"export test=""file1 file2"" ; >$test >hey","$test: ambiguous redir, hey n'est pas créé",
SUBST & REDIR,"export test=""file1 file2"" ; >hey >$test","$test: ambiguous redir, hey est créé",
SYNTHAX,|,"""synthax error"" & exit 2",
SYNTHAX,echo bonjour ; |,"""synthax error"" & exit 2",
SYNTHAX,echo bonjour > > out,"""synthax error"" & exit 2",
SYNTHAX,echo bonjour > $test,"""redirection ambigue"" & exit 1",
SYNTHAX,"echo bonjour > $test w/ test=""o1 o2""","""redirection ambigue"" & exit 1",
SYNTHAX,echo bonjour >>> test,"""synthax error"" & exit 2",
SYNTHAX,echo bonjour | |,"""synthax error"" & exit 2",
SYNTHAX,echo bonjour |;,"""synthax error"" & exit 2",
UNSET,unset PATH ; echo $PATH,\n,
UNSET,unset PATH ; ls,bash: ls: No such file or directory. Exit 127,
UNSET,"unset """" test",unset test et set $? à 1,
UNSET,unset =,erreur et set $? à 1,
UNSET,unset PWD,,
UNSET,unset var,var1 ne doit pas etre unset,
,export $var=s\ -la ; l$var,,
,/bin/echo bonjour,affiche bonjour,
,,,
SPECIAL CASES,cat wfeh | cat csijdsji | cat nfwir,,
